model_name,trial_number,objective_pr_auc,default_precision,default_recall,default_f1_score,default_roc_auc,best_f1_threshold,best_f1_precision,best_f1_recall,best_f1_score,best_cost_threshold,minimum_business_cost,best_cost_precision,best_cost_recall,best_cost_f1_score,best_cost_false_negatives,best_cost_false_positives,smote_sampling_strategy,smote_k_neighbors,n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda
smote_lightgbm,0,0.8204560370109367,0.8289473684210527,0.7974683544303798,0.8129032258064516,0.9660378828564353,0.87,0.953125,0.7721518987341772,0.8531468531468531,0.05,75000,0.39759036144578314,0.8354430379746836,0.5387755102040817,13,100,0.21854305348131312,10,932,0.045504758132021865,53,4,11,0.9330880728874675,0.8005575058716043,0.02358594058414266,1.5320059381854043e-08
smote_lightgbm,1,0.7477742260579611,0.378698224852071,0.810126582278481,0.5161290322580645,0.9723430660793442,0.89,0.8823529411764706,0.759493670886076,0.8163265306122449,0.46,83600,0.32338308457711445,0.8227848101265823,0.4642857142857143,14,136,0.48645943347289744,9,412,0.009778325945801386,60,6,65,0.7159725093210578,0.645614570099021,0.0032112643094417484,1.8007140198129195e-07
smote_lightgbm,2,0.8313785080418139,0.9393939393939394,0.7848101265822784,0.8551724137931035,0.960262792490212,0.97,0.9538461538461539,0.7848101265822784,0.8611111111111112,0.09,80600,0.9130434782608695,0.7974683544303798,0.8513513513513513,16,6,0.18146509184084816,5,656,0.09054594344647797,64,8,73,0.5232252063599989,0.8037724259507192,3.425445902633376e-07,3.850031979199519e-08
smote_lightgbm,3,0.828396720514192,0.8205128205128205,0.810126582278481,0.8152866242038217,0.9733242248261545,0.8300000000000001,0.9253731343283582,0.7848101265822784,0.8493150684931506,0.19,63900,0.6320754716981132,0.8481012658227848,0.7243243243243244,12,39,0.476998491764,10,1009,0.015380821666156693,39,9,56,0.5610191174223894,0.7475884550556351,2.039373116525212e-08,1.5271567592511939
smote_lightgbm,4,0.8123212453399175,0.6153846153846154,0.810126582278481,0.6994535519125683,0.9681549151155769,0.9400000000000001,0.9375,0.759493670886076,0.8391608391608392,0.16,71700,0.28936170212765955,0.8607594936708861,0.43312101910828027,11,167,0.16645099172000763,8,512,0.0340525919132447,147,4,117,0.8875664116805573,0.9697494707820946,1.1309571585271492,0.002404915432737351
smote_lightgbm,5,0.722546699381586,0.42,0.7974683544303798,0.5502183406113537,0.9759147232247455,0.81,0.8939393939393939,0.7468354430379747,0.8137931034482758,0.42000000000000004,83000,0.3333333333333333,0.8227848101265823,0.4744525547445255,14,130,0.46484340576040256,3,396,0.005907814282530534,94,6,36,0.9143687545759647,0.6783766633467947,3.3760633488778465e-06,0.0007660634613082907
smote_lightgbm,6,0.8235354239306645,0.8767123287671232,0.810126582278481,0.8421052631578947,0.9646192931538717,0.77,0.9411764705882353,0.810126582278481,0.8707482993197279,0.03,71000,0.5238095238095238,0.8354430379746836,0.6439024390243903,13,60,0.1134159012386432,9,274,0.19055576023698442,202,4,5,0.9077307142274171,0.8534286719238086,0.0363969097981129,0.08738424135626989
smote_lightgbm,7,0.8274291837718184,0.9402985074626866,0.7974683544303798,0.863013698630137,0.970954528885191,0.47000000000000003,0.9402985074626866,0.7974683544303798,0.863013698630137,0.01,73800,0.6310679611650486,0.8227848101265823,0.7142857142857143,14,38,0.08332009328034067,5,315,0.1207017234656905,166,6,12,0.6554911608578311,0.6625916610133735,0.03685153691188181,0.005470376807480385
smote_lightgbm,8,0.8245266031625222,0.9253731343283582,0.7848101265822784,0.8493150684931506,0.9649426358832516,0.91,0.9538461538461539,0.7848101265822784,0.8611111111111112,0.02,69800,0.5789473684210527,0.8354430379746836,0.6839378238341969,13,48,0.44924573415934693,6,319,0.0694433945478456,199,8,94,0.7468977981821954,0.7613664146909971,7.04480806377519e-05,1.6934490731313353e-08
smote_lightgbm,9,0.8237362526495364,0.9253731343283582,0.7848101265822784,0.8493150684931506,0.9717890425215168,0.33,0.9253731343283582,0.7848101265822784,0.8493150684931506,0.01,77600,0.7111111111111111,0.810126582278481,0.757396449704142,15,26,0.098551142146987,3,837,0.01594362770228301,138,12,33,0.7051914615178149,0.8777755692715243,1.1459970229341322e-06,4.929685216887945e-08
smote_lightgbm,10,0.826606680080039,0.810126582278481,0.810126582278481,0.810126582278481,0.9813476880438321,0.88,0.953125,0.7721518987341772,0.8531468531468531,0.21000000000000002,63500,0.6568627450980392,0.8481012658227848,0.7403314917127072,12,35,0.3234603806977676,6,694,0.025803442133388213,247,12,86,0.5078629769267746,0.539507620086958,8.536188349288985,9.169616976466295e-06
smote_lightgbm,11,0.8389910055962756,0.9253731343283582,0.7848101265822784,0.8493150684931506,0.9737919865542851,0.45,0.9253731343283582,0.7848101265822784,0.8493150684931506,0.03,64400,0.6036036036036037,0.8481012658227848,0.7052631578947368,12,44,0.32785451284685946,7,1170,0.07474766663245654,19,9,61,0.5023735411654935,0.7590795828321593,3.8085092945416025e-08,9.359331819851889
smote_lightgbm,12,0.8381319661904099,0.9253731343283582,0.7848101265822784,0.8493150684931506,0.9710193643894471,0.62,0.9538461538461539,0.7848101265822784,0.8611111111111112,0.02,76400,0.8205128205128205,0.810126582278481,0.8152866242038217,15,14,0.2848051434209055,5,1184,0.08047864774972951,16,9,71,0.5829978579849482,0.9318657440733,1.0629104556663006e-08,1.1901121202198543e-05
smote_lightgbm,13,0.8385187902289172,0.9130434782608695,0.7974683544303798,0.8513513513513513,0.9739027356130573,0.51,0.9264705882352942,0.7974683544303798,0.8571428571428571,0.06999999999999999,62700,0.7127659574468085,0.8481012658227848,0.7745664739884393,12,27,0.31073326200387247,7,1199,0.058425866494277966,17,10,48,0.6043118494053108,0.9724211915821481,1.6448952940934922e-08,6.101206772939144
smote_lightgbm,14,0.8341149687689604,0.8985507246376812,0.7848101265822784,0.8378378378378378,0.9743780104682905,0.56,0.9253731343283582,0.7848101265822784,0.8493150684931506,0.05,64100,0.6203703703703703,0.8481012658227848,0.7165775401069518,12,41,0.36721718717067986,7,1199,0.0508493323857315,18,10,47,0.6319149309310228,0.9983354202688064,1.6967632128315268e-07,8.003398277138528
smote_lightgbm,15,0.8439926012441034,0.8857142857142857,0.7848101265822784,0.8322147651006712,0.9777834048935501,0.77,0.9538461538461539,0.7848101265822784,0.8611111111111112,0.01,67200,0.75,0.8354430379746836,0.7904191616766467,13,22,0.3848665330962365,7,1049,0.15924705810164325,90,11,37,0.8100744538922787,0.5123708069652484,7.912168354190274e-06,0.3027662610057009
smote_lightgbm,16,0.8411995208072695,0.9393939393939394,0.7848101265822784,0.8551724137931035,0.9772808601695742,0.43,0.9402985074626866,0.7974683544303798,0.863013698630137,0.01,67300,0.7415730337078652,0.8354430379746836,0.7857142857142857,13,23,0.38984980244402123,8,1065,0.17122166375556724,96,11,28,0.8338962247920462,0.538699696403761,1.795793066557196e-05,0.23529158002820805
smote_lightgbm,17,0.8350084821083379,0.9253731343283582,0.7848101265822784,0.8493150684931506,0.979855358390076,0.33,0.9253731343283582,0.7848101265822784,0.8493150684931506,0.01,72100,0.7558139534883721,0.8227848101265823,0.7878787878787878,14,21,0.38576223941282045,8,1016,0.18921851841512785,104,11,26,0.8311518348426323,0.5152095877025299,3.220281324567084e-05,0.12019071336464844
smote_lightgbm,18,0.8317680466244354,0.9393939393939394,0.7848101265822784,0.8551724137931035,0.9765771305976274,0.44,0.9393939393939394,0.7848101265822784,0.8551724137931035,0.01,72500,0.7222222222222222,0.8227848101265823,0.7692307692307693,14,25,0.40420299119480346,8,827,0.12878398240296032,105,11,23,0.8199212859905155,0.5883019650024282,9.001626651465481e-05,0.19529669830194119
smote_lightgbm,19,0.834837001759427,0.9393939393939394,0.7848101265822784,0.8551724137931035,0.9777235781406959,0.45,0.9402985074626866,0.7974683544303798,0.863013698630137,0.01,76700,0.7901234567901234,0.810126582278481,0.8,15,17,0.2635121410169052,6,1054,0.12572260597470458,91,11,40,0.9804385584664498,0.5782976604485447,9.811808561821967e-06,0.020737261796578775
smote_lightgbm,20,0.8271683114484907,0.9384615384615385,0.7721518987341772,0.8472222222222222,0.9723183005863021,0.31,0.9393939393939394,0.7848101265822784,0.8551724137931035,0.01,82100,0.75,0.7974683544303798,0.7730061349693251,16,21,0.3909294948523396,9,883,0.19385498591929665,128,12,22,0.7887957332693476,0.5891772199633296,0.0008357757155573807,0.00017807434660490053
smote_lightgbm,21,0.8418800402476435,0.9253731343283582,0.7848101265822784,0.8493150684931506,0.977285590657009,0.81,0.9538461538461539,0.7848101265822784,0.8611111111111112,0.03,72000,0.7647058823529411,0.8227848101265823,0.7926829268292683,14,20,0.34783591948180387,7,1090,0.1071313019781338,76,10,57,0.8546456290117532,0.532432982443398,1.706080680331759e-07,0.7375863696540434
smote_lightgbm,22,0.8405313890898825,0.9117647058823529,0.7848101265822784,0.8435374149659864,0.9743101140604,0.62,0.9538461538461539,0.7848101265822784,0.8611111111111112,0.02,72300,0.7386363636363636,0.8227848101265823,0.7784431137724551,14,23,0.42369100684344607,7,1065,0.13373529486909166,85,10,47,0.8467630524995643,0.5002509343119388,1.1112807035040895e-06,0.49543694607114364
smote_lightgbm,23,0.8391885006462506,0.9538461538461539,0.7848101265822784,0.8611111111111112,0.9747951281544699,0.26,0.9545454545454546,0.7974683544303798,0.8689655172413793,0.02,71600,0.8024691358024691,0.8227848101265823,0.8125,14,16,0.3560356425813081,8,1097,0.1033022457443592,120,11,32,0.771064350193248,0.550227069929606,0.0006172419693137155,0.017633990118648264
smote_lightgbm,24,0.8379936644156847,0.9117647058823529,0.7848101265822784,0.8435374149659864,0.9804516780708515,0.7100000000000001,0.9538461538461539,0.7848101265822784,0.8611111111111112,0.03,72000,0.7647058823529411,0.8227848101265823,0.7926829268292683,14,20,0.25776280555963615,6,956,0.14763816109472647,77,10,54,0.8605342573702619,0.6312916127824661,9.733458912428147e-06,1.3829785479461283
smote_lightgbm,25,0.8326584350005961,0.9393939393939394,0.7848101265822784,0.8551724137931035,0.9702510775772113,0.77,0.9538461538461539,0.7848101265822784,0.8611111111111112,0.01,71800,0.7831325301204819,0.8227848101265823,0.8024691358024691,14,18,0.43696659925253173,4,1117,0.09851214701009335,165,8,85,0.9820302029326841,0.6069064355770162,4.0433482299828385e-07,0.04968735858974299
smote_lightgbm,26,0.8424281317907208,0.9253731343283582,0.7848101265822784,0.8493150684931506,0.9727704795322938,0.7100000000000001,0.9393939393939394,0.7848101265822784,0.8551724137931035,0.01,67600,0.717391304347826,0.8354430379746836,0.7719298245614035,13,26,0.341611721608461,7,748,0.15121704972763536,42,12,41,0.8081841420385705,0.5530552114455749,1.269795771833763e-07,0.4288767041866704
smote_lightgbm,27,0.8412953574941039,0.9264705882352942,0.7974683544303798,0.8571428571428571,0.9798439495674387,0.33,0.9142857142857143,0.810126582278481,0.8590604026845637,0.05,62900,0.6979166666666666,0.8481012658227848,0.7657142857142857,12,29,0.3427492180256813,7,727,0.03697922602872151,39,12,42,0.7970609649227,0.6923540989885605,1.0540334553843485e-07,1.9233054083877656
smote_lightgbm,28,0.8393640865030142,0.9,0.7974683544303798,0.8456375838926175,0.976610800537606,0.68,0.9393939393939394,0.7848101265822784,0.8551724137931035,0.01,63900,0.6320754716981132,0.8481012658227848,0.7243243243243244,12,39,0.3027077301785242,6,590,0.06193052277439865,46,12,71,0.7428806456725263,0.55750986930585,2.020416088862871e-06,0.6043511679501948
smote_lightgbm,29,0.840175735384261,0.9393939393939394,0.7848101265822784,0.8551724137931035,0.9733846081069424,0.51,0.9538461538461539,0.7848101265822784,0.8611111111111112,0.02,76300,0.8311688311688312,0.810126582278481,0.8205128205128205,15,13,0.2523675000757691,7,951,0.10798359924348401,71,9,15,0.8801023987648245,0.6156980392219596,8.431189576790712e-08,0.023109211149873198
smote_lightgbm,30,0.8401881674099182,0.9393939393939394,0.7848101265822784,0.8551724137931035,0.9659329773409652,0.53,0.9538461538461539,0.7848101265822784,0.8611111111111112,0.01,71500,0.8125,0.8227848101265823,0.8176100628930818,14,15,0.19762278293719335,10,762,0.15427015096128016,46,7,59,0.9421468901925821,0.5062016446503845,4.885888057531724e-07,0.00017932683079707707
smote_lightgbm,31,0.8400759227394908,0.9264705882352942,0.7974683544303798,0.8571428571428571,0.9773131387897187,0.37,0.9264705882352942,0.7974683544303798,0.8571428571428571,0.04,62100,0.7613636363636364,0.8481012658227848,0.8023952095808383,12,21,0.35114424975254005,7,767,0.04263001353184819,38,12,43,0.7860581421428136,0.7184591687910331,6.668190584612233e-08,1.9544871197630658
smote_lightgbm,32,0.8398666446812669,0.8888888888888888,0.810126582278481,0.847682119205298,0.977263051275701,0.67,0.9130434782608695,0.7974683544303798,0.8513513513513513,0.11,62700,0.7127659574468085,0.8481012658227848,0.7745664739884393,12,27,0.35196614346646643,7,548,0.030588294121153534,59,11,52,0.8021876564070227,0.6927048982966085,9.570548702847704e-08,2.257425204891029
smote_lightgbm,33,0.8359570439535131,0.875,0.7974683544303798,0.8344370860927153,0.9748118239924757,0.8200000000000001,0.9393939393939394,0.7848101265822784,0.8551724137931035,0.04,64600,0.5929203539823009,0.8481012658227848,0.6979166666666666,12,46,0.33675166114254257,8,681,0.023786323810697396,70,10,39,0.6902317444761281,0.6412513951596424,3.418898402183747e-06,0.6031170429678622
smote_lightgbm,34,0.8335817522177824,0.8767123287671232,0.810126582278481,0.8421052631578947,0.9760539943401109,0.67,0.9130434782608695,0.7974683544303798,0.8513513513513513,0.09999999999999999,63600,0.6504854368932039,0.8481012658227848,0.7362637362637363,12,36,0.2931636632823653,9,877,0.016775262946025327,36,12,63,0.866325516570413,0.5646456708315675,5.165584218767964e-07,0.296879397696513
smote_lightgbm,35,0.7358874872848945,0.22259136212624583,0.8481012658227848,0.3526315789473684,0.9754820227564271,0.9600000000000001,0.8695652173913043,0.759493670886076,0.8108108108108109,0.86,68100,0.6804123711340206,0.8354430379746836,0.75,13,31,0.374335138636178,6,731,0.009304403184923444,56,3,40,0.7469221046861443,0.5254884027198209,2.1458685978157946e-07,3.0932543680153533
smote_lightgbm,36,0.8290833545970645,0.8873239436619719,0.7974683544303798,0.84,0.9730142387671792,0.97,0.9538461538461539,0.7848101265822784,0.8611111111111112,0.08,71000,0.8666666666666667,0.8227848101265823,0.8441558441558441,14,10,0.4891613791747137,5,601,0.0862806904099209,32,11,18,0.8057384190350215,0.7081883630716848,3.883588227126541e-08,0.00821305068394343
smote_lightgbm,37,0.7443431416373879,0.5871559633027523,0.810126582278481,0.6808510638297872,0.9746455612723343,0.87,0.8939393939393939,0.7468354430379747,0.8137931034482758,0.28,73600,0.33004926108374383,0.8481012658227848,0.475177304964539,12,136,0.4130262070881128,7,505,0.005438723028202497,111,10,120,0.941364635997169,0.7972540521084133,0.00012045301113307201,0.06294823164910278
smote_lightgbm,38,0.8388172970658415,0.9130434782608695,0.7974683544303798,0.8513513513513513,0.9767079146620067,0.34,0.9130434782608695,0.7974683544303798,0.8513513513513513,0.03,63700,0.6442307692307693,0.8481012658227848,0.73224043715847,12,37,0.22889624503131764,8,424,0.045541361103206224,80,12,66,0.8916540814526719,0.6643086291427187,6.315471520385845e-06,1.0483131116181708
smote_lightgbm,39,0.827122046208541,0.9253731343283582,0.7848101265822784,0.8493150684931506,0.9700265185560327,0.76,0.9538461538461539,0.7848101265822784,0.8611111111111112,0.02,68200,0.673469387755102,0.8354430379746836,0.7457627118644068,13,32,0.13840898532117696,5,990,0.020049063883853895,60,9,80,0.7304418257698836,0.6100449297985624,0.006799048177863628,0.00147556027455018
smote_lightgbm,40,0.8281671892788527,0.9104477611940298,0.7721518987341772,0.8356164383561644,0.9712058012471791,0.31,0.9014084507042254,0.810126582278481,0.8533333333333334,0.12,66800,0.7857142857142857,0.8354430379746836,0.8098159509202454,13,18,0.054718789582423044,6,894,0.01120897442548501,48,11,32,0.7698179960944967,0.8045788546380639,1.1152778115649606e-06,0.07505445455336039
smote_lightgbm,41,0.8366543559345867,0.8985507246376812,0.7848101265822784,0.8378378378378378,0.977593628868217,0.68,0.9538461538461539,0.7848101265822784,0.8611111111111112,0.01,72500,0.7222222222222222,0.8227848101265823,0.7692307692307693,14,25,0.4596701684605079,8,1098,0.16625059815989396,91,11,26,0.8359874650577052,0.5336269382792876,0.00038910944507755104,0.29473921877646075
smote_lightgbm,42,0.8372602619996734,0.9384615384615385,0.7721518987341772,0.8472222222222222,0.9764449552134147,0.68,0.953125,0.7721518987341772,0.8531468531468531,0.01,67300,0.7415730337078652,0.8354430379746836,0.7857142857142857,13,23,0.4043753365037597,9,1136,0.16604748521193555,99,12,51,0.8555307171635511,0.56545638493668,3.2841506879066314e-05,0.23468556141091804
smote_lightgbm,43,0.836638825619078,0.9,0.7974683544303798,0.8456375838926175,0.9811156158955507,0.7100000000000001,0.9393939393939394,0.7848101265822784,0.8551724137931035,0.01,68300,0.6666666666666666,0.8354430379746836,0.7415730337078652,13,33,0.3354031907565637,8,813,0.1075662569358616,65,11,7,0.8237907253352427,0.5337422817335805,1.793494847713648e-05,0.8714306996291726
smote_lightgbm,44,0.8423752795949898,0.9117647058823529,0.7848101265822784,0.8435374149659864,0.9784626472364214,0.32,0.9,0.7974683544303798,0.8456375838926175,0.01,63300,0.67,0.8481012658227848,0.7486033519553073,12,33,0.3804560331586643,7,1041,0.19902683574283947,30,10,29,0.9097853439798311,0.5445351936691886,3.008716865555843e-06,3.5759400953893588
smote_lightgbm,45,0.8387738823937929,0.8857142857142857,0.7848101265822784,0.8322147651006712,0.9744353328454438,0.8200000000000001,0.9393939393939394,0.7848101265822784,0.8551724137931035,0.01,63500,0.6568627450980392,0.8481012658227848,0.7403314917127072,12,35,0.2850946164170768,7,1003,0.19951040271305734,28,9,35,0.9276779440810745,0.5014427721480516,1.9182374015845056e-07,4.2105086557174465
smote_lightgbm,46,0.8381926522583426,0.9264705882352942,0.7974683544303798,0.8571428571428571,0.9774731405706081,0.38,0.9264705882352942,0.7974683544303798,0.8571428571428571,0.02,64600,0.5929203539823009,0.8481012658227848,0.6979166666666666,12,46,0.31908764505485526,6,642,0.13961694028496763,29,10,44,0.9045320671440049,0.5868875383638025,3.123420358500968e-08,9.95693970973636
smote_lightgbm,47,0.8102947108753915,0.6947368421052632,0.8354430379746836,0.7586206896551724,0.9727902362739341,0.92,0.9253731343283582,0.7848101265822784,0.8493150684931506,0.23,66500,0.5075757575757576,0.8481012658227848,0.6350710900473934,12,65,0.42740240184036,7,212,0.03579713591842193,53,12,101,0.6839766792158486,0.86534213924329,3.1535921016964303e-06,2.928766380686822
smote_lightgbm,48,0.833069013821923,0.9117647058823529,0.7848101265822784,0.8435374149659864,0.9781860528534578,0.7100000000000001,0.9393939393939394,0.7848101265822784,0.8551724137931035,0.01,68500,0.6534653465346535,0.8354430379746836,0.7333333333333333,13,35,0.36249431555676004,7,918,0.08600203845778825,75,10,58,0.8799030430952228,0.7322206150967566,8.155152606276075e-07,1.3137235538136691
